sigla_acao;nome_acao;snome
CTKA3;KARSTEN;CTKA3-KARSTEN
DGCO34;DOLLAR GENER;DGCO34-DOLLAR GENER
ELET5;ELETROBRAS;ELET5-ELETROBRAS
FRIO3;METALFRIO;FRIO3-METALFRIO
HBTS5;HABITASUL;HBTS5-HABITASUL
I1VZ34;INVESCO LTD;I1VZ34-INVESCO LTD
KHCB34;KRAFT HEINZ;KHCB34-KRAFT HEINZ
MAPT4;CEMEPE;MAPT4-CEMEPE
PCAR3;P.ACUCAR-CBD;PCAR3-P.ACUCAR-CBD
SPRN34;SPRINT;SPRN34-SPRINT
TGTB34;TARGET CORP;TGTB34-TARGET CORP
A1PA34;APACHE CORP;A1PA34-APACHE CORP
BGIP3;BANESE;BGIP3-BANESE
BMIN3;MERC INVEST;BMIN3-MERC INVEST
BOBR3;BOMBRIL;BOBR3-BOMBRIL
C1CL34;CARNIVAL COR;C1CL34-CARNIVAL COR
CALI4;CONST A LIND;CALI4-CONST A LIND
CEED4;CEEE-D;CEED4-CEEE-D
CSRN5;COSERN;CSRN5-COSERN
CSRN6;COSERN;CSRN6-COSERN
ECPR3;ENCORPAR;ECPR3-ENCORPAR
ECPR4;ENCORPAR;ECPR4-ENCORPAR
ELEK3;ELEKEIROZ;ELEK3-ELEKEIROZ
ESTR4;ESTRELA;ESTR4-ESTRELA
GPRO34;GOPRO;GPRO34-GOPRO
HALI34;HALLIBURTON;HALI34-HALLIBURTON
IBOV11;IBOVESPA;IBOV11-IBOVESPA
JOPA3;JOSAPAR;JOPA3-JOSAPAR
M1RO34;MARATHON OIL;M1RO34-MARATHON OIL
MTIG4;METAL IGUACU;MTIG4-METAL IGUACU
PATI3;PANATLANTICA;PATI3-PANATLANTICA
PTNT3;PETTENATI;PTNT3-PETTENATI
RIGG34;TRANSOCEAN;RIGG34-TRANSOCEAN
SPRI5;SPRINGER;SPRI5-SPRINGER
B1SX34;BOSTON SCIEN;B1SX34-BOSTON SCIEN
C1IC34;CIGNA CORP;C1IC34-CIGNA CORP
CAON34;CAPITAL ONE;CAON34-CAPITAL ONE
CAPH34;CAPRI HOLDI;CAPH34-CAPRI HOLDI
CEED3;CEEE-D;CEED3-CEEE-D
COTY34;COTY INC;COTY34-COTY INC
CSAB3;SEG AL BAHIA;CSAB3-SEG AL BAHIA
D1OM34;DOMINION ENE;D1OM34-DOMINION ENE
DOHL3;DOHLER;DOHL3-DOHLER
EEEL4;CEEE-GT;EEEL4-CEEE-GT
EQMA3B;EQTLMARANHAO;EQMA3B-EQTLMARANHAO
F1IS34;FISERV INC;F1IS34-FISERV INC
FMXB34;FEMSA;FMXB34-FEMSA
GPAR3;CELGPAR;GPAR3-CELGPAR
J1CI34;JOHNSON CONT;J1CI34-JOHNSON CONT
JCPC34;JC PENNEY;JCPC34-JC PENNEY
L1RC34;LAM RESEARCH;L1RC34-LAM RESEARCH
MSBR34;MORGAN STAN;MSBR34-MORGAN STAN
MTRE3;MITRE REALTY;MTRE3-MITRE REALTY
N1XP34;NXP SEMICOND;N1XP34-NXP SEMICOND
NAFG3;NADIR FIGUEI;NAFG3-NADIR FIGUEI
NAFG4;NADIR FIGUEI;NAFG4-NADIR FIGUEI
PATI4;PANATLANTICA;PATI4-PANATLANTICA
S1TX34;SEAGATE TECH;S1TX34-SEAGATE TECH
SOND5;SONDOTECNICA;SOND5-SONDOTECNICA
STMN34;STMICROEL;STMN34-STMICROEL
T1EC34;TECHNIPFMC P;T1EC34-TECHNIPFMC P
T1MU34;T-MOBILE US;T1MU34-T-MOBILE US
T1SO34;THE SOUTHERN;T1SO34-THE SOUTHERN
TPIS3;TRIUNFO PART;TPIS3-TRIUNFO PART
U1AL34;UNITED AIRLI;U1AL34-UNITED AIRLI
WABC34;WESTERN BCOR;WABC34-WESTERN BCOR
A1AP34;ADVANCE AUTO;A1AP34-ADVANCE AUTO
A1BM34;ABIOMED INC;A1BM34-ABIOMED INC
A1DI34;ANALOG DEVIC;A1DI34-ANALOG DEVIC
A1EP34;AMERICAN ELE;A1EP34-AMERICAN ELE
A1KA34;AKAMAI TECHN;A1KA34-AKAMAI TECHN
A1LB34;ALBEMARLE CO;A1LB34-ALBEMARLE CO
A1NT34;ANTHEM INC;A1NT34-ANTHEM INC
A1PD34;AIR PRODUCTS;A1PD34-AIR PRODUCTS
A1UT34;AUTODESK INC;A1UT34-AUTODESK INC
AIGB34;AIG GROUP;AIGB34-AIG GROUP
B1BT34;BBT CORP;B1BT34-BBT CORP
B1MR34;BIOMARIN PHA;B1MR34-BIOMARIN PHA
C1BO34;CBOE GLOBAL;C1BO34-CBOE GLOBAL
C1ER34;CERNER CORP;C1ER34-CERNER CORP
C1HR34;CH ROBINSON;C1HR34-CH ROBINSON
C1NP34;CENTERPOINT;C1NP34-CENTERPOINT
C1TL34;CENTURYLINK;C1TL34-CENTURYLINK
C1TX34;CITRIX SYSTE;C1TX34-CITRIX SYSTE
CLSC3;CELESC;CLSC3-CELESC
D1TE34;DTE ENERGY C;D1TE34-DTE ENERGY C
DEAI34;DELTA;DEAI34-DELTA
E1CL34;ECOLAB INC;E1CL34-ECOLAB INC
E1OG34;EOG RESOURCE;E1OG34-EOG RESOURCE
E1SE34;EVERSOURCE E;E1SE34-EVERSOURCE E
E1VR34;EVERGY INC;E1VR34-EVERGY INC
E1XC34;EXELON CORP;E1XC34-EXELON CORP
EAIN34;ELECTR ARTS;EAIN34-ELECTR ARTS
ELCI34;ESTEE LAUDER;ELCI34-ESTEE LAUDER
F1EC34;FIRSTENERGY;F1EC34-FIRSTENERGY
F1LS34;FLOWSERVE CO;F1LS34-FLOWSERVE CO
F1TV34;FORTIVE CORP;F1TV34-FORTIVE CORP
G1WW34;WW GRAINGER;G1WW34-WW GRAINGER
H1CA34;HCA HEALTHCA;H1CA34-HCA HEALTHCA
I1CE34;INTERCONTINE;I1CE34-INTERCONTINE
I1NF34;IHS MARKIT L;I1NF34-IHS MARKIT L
I1PG34;IPG PHOTONIC;I1PG34-IPG PHOTONIC
JOPA4;JOSAPAR;JOPA4-JOSAPAR
K1LA34;KLA CORP;K1LA34-KLA CORP
L1BT34;LIBERTY GLOB;L1BT34-LIBERTY GLOB
L1IN34;LINDE PLC;L1IN34-LINDE PLC
L1NC34;LINCOLN NATI;L1NC34-LINCOLN NATI
LBRN34;L BRANDS;LBRN34-L BRANDS
LWSA3;LOCAWEB;LWSA3-LOCAWEB
M1CB34;MOLSON COORS;M1CB34-MOLSON COORS
M1GM34;MGM RESORTS;M1GM34-MGM RESORTS
M1KC34;MCCORMICK;M1KC34-MCCORMICK
MDNE3;MOURA DUBEUX;MDNE3-MOURA DUBEUX
N1BL34;NOBLE ENERGY;N1BL34-NOBLE ENERGY
N1OV34;NATIONAL OIL;N1OV34-NATIONAL OIL
N1TA34;NETAPP INC;N1TA34-NETAPP INC
NETE34;NETEASE;NETE34-NETEASE
NMRH34;NOMURA HO;NMRH34-NOMURA HO
P1AY34;PAYCHEX INC;P1AY34-PAYCHEX INC
P1DT34;PRUDENTIAL F;P1DT34-PRUDENTIAL F
P1IO34;PIONEER NATU;P1IO34-PIONEER NATU
P1LD34;PROLOGIS INC;P1LD34-PROLOGIS INC
P1SX34;PHILLIPS 66;P1SX34-PHILLIPS 66
PRNR3;PRINER;PRNR3-PRINER
R1SG34;REPUBLIC SER;R1SG34-REPUBLIC SER
S1PO34;SPOTIFY TECH;S1PO34-SPOTIFY TECH
T1RI34;TRIPADVISOR;T1RI34-TRIPADVISOR
T1SC34;TRACTOR SUPP;T1SC34-TRACTOR SUPP
W1MC34;WASTE MANAG;W1MC34-WASTE MANAG
WUNI34;WESTERNUNION;WUNI34-WESTERNUNION
X1EL34;XCEL ENERGY;X1EL34-XCEL ENERGY
YUMR34;YUM BRANDS;YUMR34-YUM BRANDS
A1EN34;ALLIANT ENER;A1EN34-ALLIANT ENER
A1ES34;AES CORP;A1ES34-AES CORP
A1FL34;AFLAC INC;A1FL34-AFLAC INC
A1GI34;AGILENT TECH;A1GI34-AGILENT TECH
A1GN34;ALLEGION PLC;A1GN34-ALLEGION PLC
A1LK34;ALASKA AIR G;A1LK34-ALASKA AIR G
A1LL34;ALLIANCE DAT;A1LL34-ALLIANCE DAT
A1MP34;AMERIPRISE F;A1MP34-AMERIPRISE F
A1OS34;AO SMITH COR;A1OS34-AO SMITH COR
A1PH34;AMPHENOL COR;A1PH34-AMPHENOL COR
A1SU34;ASSURANT INC;A1SU34-ASSURANT INC
A1TT34;ALLSTATE COR;A1TT34-ALLSTATE COR
A1VY34;AVERY DENNIS;A1VY34-AVERY DENNIS
AHEB5;SPTURIS;AHEB5-SPTURIS
APTV34;APTIV PLC;APTV34-APTIV PLC
B1BT34;TRUIST FINAN;B1BT34-TRUIST FINAN
B1DX34;BECTON DICKI;B1DX34-BECTON DICKI
B1KR34;BAKER HUGHES;B1KR34-BAKER HUGHES
B1WA34;BORGWARNER I;B1WA34-BORGWARNER I
BIDU34;BAIDU INC;BIDU34-BAIDU INC
BRGE6;ALFA CONSORC;BRGE6-ALFA CONSORC
BSLI3;BRB BANCO;BSLI3-BRB BANCO
C1AG34;CONAGRA BRAN;C1AG34-CONAGRA BRAN
C1AH34;CARDINAL HEA;C1AH34-CARDINAL HEA
C1BS34;CBS CORP;C1BS34-CBS CORP
C1BS34;VIACOMCBS;C1BS34-VIACOMCBS
C1CI34;CROWN CASTLE;C1CI34-CROWN CASTLE
C1FG34;CITIZENS FIN;C1FG34-CITIZENS FIN
C1FI34;CF INDUSTRIE;C1FI34-CF INDUSTRIE
C1MA34;COMERICA INC;C1MA34-COMERICA INC
C1MG34;CHIPOTLE MEX;C1MG34-CHIPOTLE MEX
C1NC34;CENTENE CORP;C1NC34-CENTENE CORP
C1OG34;CABOT OIL;C1OG34-CABOT OIL
C1PR34;COPART INC;C1PR34-COPART INC
C1XO34;CONCHO RESOU;C1XO34-CONCHO RESOU
CAJI34;CANON INC;CAJI34-CANON INC
CINF34;CINCINNATI;CINF34-CINCINNATI
CRDA34;CREDIT ACCEP;CRDA34-CREDIT ACCEP
CRHP34;CRH PLC;CRHP34-CRH PLC
CTSH34;COGNIZANT;CTSH34-COGNIZANT
D1EL34;DELL TECHNOL;D1EL34-DELL TECHNOL
D1FS34;DISCOVER FIN;D1FS34-DISCOVER FIN
D1HI34;DR HORTON IN;D1HI34-DR HORTON IN
D1IS34;DISH NETWORK;D1IS34-DISH NETWORK
D1LR34;DIGITAL REAL;D1LR34-DIGITAL REAL
D1VN34;DEVON ENERGY;D1VN34-DEVON ENERGY
D1XC34;DXC TECHNOLO;D1XC34-DXC TECHNOLO
DCVY34;DISCOVERY IN;DCVY34-DISCOVERY IN
DCVY35;DISCOVERY IN;DCVY35-DISCOVERY IN
DLTR34;DOLLAR TREE;DLTR34-DOLLAR TREE
E1IX34;EDISON INTER;E1IX34-EDISON INTER
E1MN34;EASTMAN CHEM;E1MN34-EASTMAN CHEM
E1QR34;EQUITY RESID;E1QR34-EQUITY RESID
E1TF34;E TRADE FINA;E1TF34-E TRADE FINA
E1TN34;EATON CORP P;E1TN34-EATON CORP P
E1XR34;EXTRA SPACE;E1XR34-EXTRA SPACE
EXGR34;EXPEDIA GROU;EXGR34-EXPEDIA GROU
F1AN34;DIAMONDBACK;F1AN34-DIAMONDBACK
F1BH34;FORTUNE BRAN;F1BH34-FORTUNE BRAN
F1LI34;FLIR SYSTEMS;F1LI34-FLIR SYSTEMS
F1RA34;FRANKLIN RES;F1RA34-FRANKLIN RES
FASL34;FASTENAL;FASL34-FASTENAL
FCXO34;FREEPORT;FCXO34-FREEPORT
FFTD34;FIFTH THIRD;FFTD34-FIFTH THIRD
FMSC34;FRESENIUS;FMSC34-FRESENIUS
FOXC34;FOX CORP;FOXC34-FOX CORP
FSLR34;FIRST SOLAR;FSLR34-FIRST SOLAR
G1LW34;CORNING INC;G1LW34-CORNING INC
G1MI34;GENERAL MILL;G1MI34-GENERAL MILL
G1RM34;GARMIN LTD;G1RM34-GARMIN LTD
GPSI34;GAP;GPSI34-GAP
H1BA34;HUNTINGTON B;H1BA34-HUNTINGTON B
H1BI34;HANESBRANDS;H1BI34-HANESBRANDS
H1ES34;HESS CORP;H1ES34-HESS CORP
H1FC34;HOLLYFRONTIE;H1FC34-HOLLYFRONTIE
H1IG34;HARTFORD FIN;H1IG34-HARTFORD FIN
H1LT34;HILTON WORLD;H1LT34-HILTON WORLD
H1OL34;HOLOGIC INC;H1OL34-HOLOGIC INC
H1PE34;HEWLETT PACK;H1PE34-HEWLETT PACK
H1RL34;HORMEL FOODS;H1RL34-HORMEL FOODS
H1ST34;HOST HOTELS;H1ST34-HOST HOTELS
HSHY34;HERSHEY CO;HSHY34-HERSHEY CO
I1FF34;FLAVOR FLAGR;I1FF34-FLAVOR FLAGR
I1PC34;INTERNATIONA;I1PC34-INTERNATIONA
I1RM34;IRON MOUNTAI;I1RM34-IRON MOUNTAI
I1SR34;INTUITIVE SU;I1SR34-INTUITIVE SU
I1TW34;ILLINOIS TOO;I1TW34-ILLINOIS TOO
ISBC34;INVEST BCORP;ISBC34-INVEST BCORP
J1WN34;NORDSTROM IN;J1WN34-NORDSTROM IN
K1EY34;KEYCORP;K1EY34-KEYCORP
K1IM34;KIMCO REALTY;K1IM34-KIMCO REALTY
K1RC34;KROGER CO;K1RC34-KROGER CO
K1SG34;KEYSIGHT TEC;K1SG34-KEYSIGHT TEC
KMPR34;KEMPER CORP;KMPR34-KEMPER CORP
L1EN34;LENNAR CORP;L1EN34-LENNAR CORP
L1KQ34;LKQ CORP;L1KQ34-LKQ CORP
M1AS34;MASCO CORP;M1AS34-MASCO CORP
M1CH34;MICROCHIP TE;M1CH34-MICROCHIP TE
M1MC34;MARSH E MCLE;M1MC34-MARSH E MCLE
M1NS34;MONSTER BEVE;M1NS34-MONSTER BEVE
M1PC34;MARATHON PET;M1PC34-MARATHON PET
M1SC34;MSCI INC;M1SC34-MSCI INC
M1SI34;MOTOROLA SOL;M1SI34-MOTOROLA SOL
M1TB34;MT BANK COR;M1TB34-MT BANK COR
M1TT34;MARRIOTT INT;M1TT34-MARRIOTT INT
N1CL34;NORWEGIAN CR;N1CL34-NORWEGIAN CR
N1DA34;NASDAQ INC;N1DA34-NASDAQ INC
N1EM34;NEWMONT GOLD;N1EM34-NEWMONT GOLD
N1IS34;NISOURCE INC;N1IS34-NISOURCE INC
N1LS34;NIELSEN HOLD;N1LS34-NIELSEN HOLD
N1RG34;NRG ENERGY I;N1RG34-NRG ENERGY I
N1SC34;NORFOLK SOUT;N1SC34-NORFOLK SOUT
N1TR34;NORTHERN TRU;N1TR34-NORTHERN TRU
N1UE34;NUCOR CORP;N1UE34-NUCOR CORP
N1WL34;NEWELL BRAND;N1WL34-NEWELL BRAND
N1WS34;NEWS CORP;N1WS34-NEWS CORP
P1AC34;PACCAR INC;P1AC34-PACCAR INC
P1BC34;PEOPLES UNIT;P1BC34-PEOPLES UNIT
P1EA34;HEALTHPEAK P;P1EA34-HEALTHPEAK P
P1EG34;PUBLIC SERVI;P1EG34-PUBLIC SERVI
P1FG34;PRINCIPAL FI;P1FG34-PRINCIPAL FI
P1GR34;THE PROGRESS;P1GR34-THE PROGRESS
P1HC34;PARKER-HANNI;P1HC34-PARKER-HANNI
P1HM34;PULTEGROUP I;P1HM34-PULTEGROUP I
P1PL34;PPL CORP;P1PL34-PPL CORP
P1RG34;PERRIGO CO P;P1RG34-PERRIGO CO P
PHGN34;KOPHILIPS;PHGN34-KOPHILIPS
Q1UA34;QUANTA SERVI;Q1UA34-QUANTA SERVI
R1CL34;ROYAL CARIBB;R1CL34-ROYAL CARIBB
R1EG34;REGENCY CENT;R1EG34-REGENCY CENT
R1FC34;REGIONS FINA;R1FC34-REGIONS FINA
R1JF34;RAYMOND JAME;R1JF34-RAYMOND JAME
R1LC34;RALPH LAUREN;R1LC34-RALPH LAUREN
RANI3;IRANI;RANI3-IRANI
RANI4;IRANI;RANI4-IRANI
REGN34;REGENERON PH;REGN34-REGENERON PH
S1BA34;SBA COMMUNIC;S1BA34-SBA COMMUNIC
S1IV34;SVB FINANCIA;S1IV34-SVB FINANCIA
S1NP34;SYNOPSYS INC;S1NP34-SYNOPSYS INC
S1OU34;SOUTHWEST AI;S1OU34-SOUTHWEST AI
S1SL34;SKYWORKS SOL;S1SL34-SKYWORKS SOL
S1TT34;STATE STREET;S1TT34-STATE STREET
S1WK34;STANLEY BLAC;S1WK34-STANLEY BLAC
S1YK34;STRYKER CORP;S1YK34-STRYKER CORP
S1YM34;NORTONLIFE;S1YM34-NORTONLIFE
S1YY34;SYSCO CORP;S1YY34-SYSCO CORP
SLBC34;STERLING BNC;SLBC34-STERLING BNC
T1FX34;TELEFLEX INC;T1FX34-TELEFLEX INC
T1OW34;AMERICAN TOW;T1OW34-AMERICAN TOW
T1RO34;T ROWE PRICE;T1RO34-T ROWE PRICE
T1XT34;TEXTRON INC;T1XT34-TEXTRON INC
TKNO4;TEKNO;TKNO4-TEKNO
TPRY34;TAPESTRY INC;TPRY34-TAPESTRY INC
TXSA34;TERNIUMSA;TXSA34-TERNIUMSA
U1AI34;UNDER ARMOUR;U1AI34-UNDER ARMOUR
U1LT34;ULTA BEAUTY;U1LT34-ULTA BEAUTY
U1NM34;UNUM GROUP;U1NM34-UNUM GROUP
V1NO34;VORNADO REAL;V1NO34-VORNADO REAL
VLOE34;VALERO ENER;VLOE34-VALERO ENER
VLYB34;VALLEY NTION;VLYB34-VALLEY NTION
W1DA34;WORKDAY INC;W1DA34-WORKDAY INC
W1EL34;WELLTOWER IN;W1EL34-WELLTOWER IN
W1HR34;WHIRLPOOL CO;W1HR34-WHIRLPOOL CO
W1MB34;WILLIAMS COS;W1MB34-WILLIAMS COS
W1RK34;WESTROCK CO;W1RK34-WESTROCK CO
W1YC34;WEYERHAEUSER;W1YC34-WEYERHAEUSER
W1YN34;WYNN RESORTS;W1YN34-WYNN RESORTS
X1LN34;XILINX INC;X1LN34-XILINX INC
Z1IO34;ZIONSBANCORP;Z1IO34-ZIONSBANCORP
Z1TS34;ZOETIS INC;Z1TS34-ZOETIS INC
A1NS34;ANSYS INC;A1NS34-ANSYS INC
AZOI34;AUTOZONE INC;AZOI34-AUTOZONE INC
B1LL34;BALL CORP;B1LL34-BALL CORP
BSLI4;BRB BANCO;BSLI4-BRB BANCO
CASN4;CASAN;CASN4-CASAN
CEPE6;CELPE;CEPE6-CELPE
CORR4;COR RIBEIRO;CORR4-COR RIBEIRO
CPRL34;CANAD PACIFI;CPRL34-CANAD PACIFI
E1WL34;EDWARDS LIFE;E1WL34-EDWARDS LIFE
G1PI34;GLOBAL PAYME;G1PI34-GLOBAL PAYME
I1DX34;IDEXX LABORA;I1DX34-IDEXX LABORA
I1RP34;INGERSOLL RA;I1RP34-INGERSOLL RA
MSPA3;MELHOR SP;MSPA3-MELHOR SP
O1KE34;ONEOK INC;O1KE34-ONEOK INC
V1RS34;VERISK ANALY;V1RS34-VERISK ANALY
A1EE34;AMEREN CORP;A1EE34-AMEREN CORP
A1IV34;APARTMENT IN;A1IV34-APARTMENT IN
A1JG34;ARTHUR J GAL;A1JG34-ARTHUR J GAL
A1LG34;ALIGN TECHNO;A1LG34-ALIGN TECHNO
A1VB34;AVALONBAY CO;A1VB34-AVALONBAY CO
A1WK34;AMERICAN WAT;A1WK34-AMERICAN WAT
AZEV3;AZEVEDO;AZEV3-AZEVEDO
AZEV4;AZEVEDO;AZEV4-AZEVEDO
B1FC34;BROWN FORMAN;B1FC34-BROWN FORMAN
C1BR34;CBRE GROUP I;C1BR34-CBRE GROUP I
C1MS34;CMS ENERGY C;C1MS34-CMS ENERGY C
C1PB34;CAMPBELL SOU;C1PB34-CAMPBELL SOU
C1TA34;CINTAS CORP;C1TA34-CINTAS CORP
CRIN34;CARTERS INC;CRIN34-CARTERS INC
D1OV34;DOVER CORP;D1OV34-DOVER CORP
D1RE34;DUKE REALTY;D1RE34-DUKE REALTY
D1RI34;DARDEN RESTA;D1RI34-DARDEN RESTA
E1FX34;EQUIFAX INC;E1FX34-EQUIFAX INC
E1MR34;EMERSON ELEC;E1MR34-EMERSON ELEC
E1TR34;ENTERGY CORP;E1TR34-ENTERGY CORP
E1VE34;EVEREST RE G;E1VE34-EVEREST RE G
F1MC34;FMC CORP;F1MC34-FMC CORP
F1RC34;FIRST REPUBL;F1RC34-FIRST REPUBL
F1RI34;FEDERAL REAL;F1RI34-FEDERAL REAL
F1TN34;FORTINET INC;F1TN34-FORTINET INC
G1AR34;GARTNER INC;G1AR34-GARTNER INC
G1LL34;GLOBE LIFE I;G1LL34-GLOBE LIFE I
G1PC34;GENUINE PART;G1PC34-GENUINE PART
H1AS34;HASBRO INC;H1AS34-HASBRO INC
H1OG34;HARLEY-DAVID;H1OG34-HARLEY-DAVID
H1RB34;HER BLOCK IN;H1RB34-HER BLOCK IN
H1SI34;HENRY SCHEIN;H1SI34-HENRY SCHEIN
H1UM34;HUMANA INC;H1UM34-HUMANA INC
I1LM34;ILLUMINA INC;I1LM34-ILLUMINA INC
I1PH34;INTERPUBLIC;I1PH34-INTERPUBLIC
I1RP34;TRANE TECH;I1RP34-TRANE TECH
J1EF34;JEFFERIES FI;J1EF34-JEFFERIES FI
J1NP34;JUNIPER NETW;J1NP34-JUNIPER NETW
K1CS34;KANSAS CITY;K1CS34-KANSAS CITY
K1EL34;KELLOGG CO;K1EL34-KELLOGG CO
K1MX34;CARMAX INC;K1MX34-CARMAX INC
L1EG34;LEGGETT PL;L1EG34-LEGGETT PL
L1OE34;LOEWS CORP;L1OE34-LOEWS CORP
L1UL34;LULULEMON AT;L1UL34-LULULEMON AT
L1WH34;LAMB WESTON;L1WH34-LAMB WESTON
M1AA34;MID-AMERICA;M1AA34-MID-AMERICA
M1CK34;MCKESSON COR;M1CK34-MCKESSON COR
M1HK34;MOHAWK INDUS;M1HK34-MOHAWK INDUS
MKLC34;MARKEL CORP;MKLC34-MARKEL CORP
N1VR34;NVR INC;N1VR34-NVR INC
O1MC34;OMNICOM GROU;O1MC34-OMNICOM GROU
P1KG34;PACKAGING CO;P1KG34-PACKAGING CO
P1NW34;PINNACLE WES;P1NW34-PINNACLE WES
P1VH34;PVH CORP;P1VH34-PVH CORP
R1HI34;ROBERT HALF;R1HI34-ROBERT HALF
R1IN34;REALTY INCOM;R1IN34-REALTY INCOM
R1MD34;RESMED INC;R1MD34-RESMED INC
R1OK34;ROCKWELL AUT;R1OK34-ROCKWELL AUT
R1OP34;ROPER TECHNO;R1OP34-ROPER TECHNO
S1EA34;SEALED AIR C;S1EA34-SEALED AIR C
S1HW34;THE SHERWIN;S1HW34-THE SHERWIN
S1JM34;THE JM SMUCK;S1JM34-THE JM SMUCK
S1LG34;SL GREEN REA;S1LG34-SL GREEN REA
T1DG34;TRANSDIGM GR;T1DG34-TRANSDIGM GR
T1EL34;TE CONNECTIV;T1EL34-TE CONNECTIV
TIFF34;TIFFANY;TIFF34-TIFFANY
TRVC34;TRAVELERS;TRVC34-TRAVELERS
U1DR34;UDR INC;U1DR34-UDR INC
U1HS34;UNIVERSAL HE;U1HS34-UNIVERSAL HE
U1RI34;UNITED RENTA;U1RI34-UNITED RENTA
V1MC34;VULCAN MATER;V1MC34-VULCAN MATER
V1TA34;VENTAS INC;V1TA34-VENTAS INC
W1AB34;WABTEC CORP;W1AB34-WABTEC CORP
W1EC34;WEC ENERGY G;W1EC34-WEC ENERGY G
X1YL34;XYLEM INC;X1YL34-XYLEM INC
XRAY34;DENTSPLY SIR;XRAY34-DENTSPLY SIR
Z1BH34;ZIMMER BIOME;Z1BH34-ZIMMER BIOME
A1MB34;AMERISOURCEB;A1MB34-AMERISOURCEB
E1DI34;CONSOLIDATED;E1DI34-CONSOLIDATED
LSXM34;LIBERTY MEDI;LSXM34-LIBERTY MEDI
M1TD34;METTLER-TOLE;M1TD34-METTLER-TOLE
BALM3;BAUMER;BALM3-BAUMER
H1II34;HUNTINGTON I;H1II34-HUNTINGTON I
L1YB34;LYONDELLBASE;L1YB34-LYONDELLBASE
MRSA3B;MRS LOGIST;MRSA3B-MRS LOGIST
ORLY34;OREILLY AUT;ORLY34-OREILLY AUT
RYTT34;RAYTHEONTECH;RYTT34-RAYTHEONTECH
T1TW34;TAKE-TWO INT;T1TW34-TAKE-TWO INT
WATC34;WATERS CORP;WATC34-WATERS CORP
A1ME34;AMETEK INC;A1ME34-AMETEK INC
A1ON34;AON PLC;A1ON34-AON PLC
A1RE34;ALEXANDRIA R;A1RE34-ALEXANDRIA R
C1BL34;CHUBB LTD;C1BL34-CHUBB LTD
CEEB5;COELBA;CEEB5-COELBA
MRSA5B;MRS LOGIST;MRSA5B-MRS LOGIST
MRSA6B;MRS LOGIST;MRSA6B-MRS LOGIST
SBNY34;SIGNATURE BK;SBNY34-SIGNATURE BK
W1LT34;WILLIS TOWER;W1LT34-WILLIS TOWER
A1NE34;ARISTA NETWO;A1NE34-ARISTA NETWO
ALPK3;ESTAPAR;ALPK3-ESTAPAR
ARNC34;HOWMET AERO;ARNC34-HOWMET AERO
C1OO34;COOPER COMPA;C1OO34-COOPER COMPA
CPLE5;COPEL;CPLE5-COPEL
E1SS34;ESSEX PROPER;E1SS34-ESSEX PROPER
L1CA34;LABORATORY C;L1CA34-LABORATORY C
L1HX34;L3HARRIS TEC;L1HX34-L3HARRIS TEC
Q1RV34;QORVO INC;Q1RV34-QORVO INC
S1NA34;SNAP-ON INC;S1NA34-SNAP-ON INC
A1TM34;ATMOS ENERGY;A1TM34-ATMOS ENERGY
C1DN34;CADENCE DESI;C1DN34-CADENCE DESI
FLTC34;FLEETCOR TEC;FLTC34-FLEETCOR TEC
AHEB6;SPTURIS;AHEB6-SPTURIS
I1NC34;INCYTE CORP;I1NC34-INCYTE CORP
MSPA4;MELHOR SP;MSPA4-MELHOR SP
R1OL34;ROLLINS INC;R1OL34-ROLLINS INC
J1KH34;JACK HENRY;J1KH34-JACK HENRY
LBRD34;LIBERTY BROA;LBRD34-LIBERTY BROA
M1XI34;MAXIM INTEGR;M1XI34-MAXIM INTEGR
MERC3;MERC FINANC;MERC3-MERC FINANC
AURA32;AURA 360;AURA32-AURA 360
B1RF34;BROADRIDGE F;B1RF34-BROADRIDGE F
BPAC13;BTGP BANCO;BPAC13-BTGP BANCO
C1NS34;CELANESE COR;C1NS34-CELANESE COR
CLXC34;CLOROX CO;CLXC34-CLOROX CO
F1FI34;F5 NETWORKS;F1FI34-F5 NETWORKS
AMBP3;AMBIPAR;AMBP3-AMBIPAR
C1HK34;CHECK POINT;C1HK34-CHECK POINT
PDTC3;PADTEC;PDTC3-PADTEC
CHDC34;CHURCH DWIGH;CHDC34-CHURCH DWIGH
CASN3;CASAN;CASN3-CASAN
DMVF3;D1000VFARMA;DMVF3-D1000VFARMA
LJQQ3;QUERO-QUERO;LJQQ3-QUERO-QUERO
P1SA34;PUBLIC STORA;P1SA34-PUBLIC STORA
SOMA3;GRUPO SOMA;SOMA3-GRUPO SOMA
DVAI34;DAVITA INC;DVAI34-DAVITA INC
P1KI34;PERKINELMER;P1KI34-PERKINELMER
LAVV3;LAVVI;LAVV3-LAVVI
M1LM34;MARTIN MARIE;M1LM34-MARTIN MARIE
PGMN3;PAGUE MENOS;PGMN3-PAGUE MENOS
PTCH34;PETROCHIN;PTCH34-PETROCHIN
THGI34;HANOVER INSU;THGI34-HANOVER INSU
JSLG11;JSL;JSLG11-JSL
MAPT3;CEMEPE;MAPT3-CEMEPE
PETZ3;PETZ;PETZ3-PETZ
CURY3;CURY S-A;CURY3-CURY S-A
PLPL3;PLANOEPLANO;PLPL3-PLANOEPLANO
SIMH3;SIMPAR;SIMH3-SIMPAR
